ID,Species,Group,Category,Provenance,Time,Ecology,PP,PP_marine,PP_trif,PP_alaska,Reference,Mean_EAA,val_norm,ile_norm,leu_norm,phe_norm,lys_norm,Check,val-phe,ala_d13C,ala_d13C_sd,asx_d13C,asx_d13C_sd,glx_d13C,glx_d13C_sd,gly_d13C,gly_d13C_sd,his_d13C,his_d13C_sd,met_d13C,met_d13C_sd,val_d13C,val_d13C_sd,leu_d13C,leu_d13C_sd,ile_d13C,ile_d13C_sd,thr_d13C,thr_d13C_sd,phe_d13C,phe_d13C_sd,lys_d13C,lys_d13C_sd,tyr_d13C,tyr_d13C_sd,ser_d13C,ser_d13C_sd,pro_d13C,pro_d13C_sd
B1,,Bacteria,Bacteria,cultured,modern,,Y,Y,Y,,Larsen et al. 2013,-13.52,-0.08,1.52,0.72,-5.28,3.12,0,5.2,-11.3,0.1,-12.9,0.9,-11.5,0,-12.9,0.1,-8.4,0.9,-18.6,0.1,-13.6,0.1,-12.8,0.1,-12,0.1,-5.2,0.8,-18.8,0.1,-10.4,0.1,-16.8,0.1,,,,
B2,,Bacteria,Bacteria,boreal forest,modern,,Y,Y,Y,,Larsen et al. 2013,-14.38,0.28,1.48,1.38,-2.62,-0.52,0,2.9,-12.2,0,-17.6,0.3,-17.8,0,-13.9,0,-8.1,0.7,-18.5,0.2,-14.1,0.1,-13,0.1,-12.9,0.1,-8.2,1.4,-17,0.1,-14.9,0.1,-18.1,0.1,,,,
B3,,Bacteria,Bacteria,boreal forest,modern,,Y,Y,Y,,Larsen et al. 2013,-20.9,0.1,2,1,-3.7,0.6,0,3.8,-15.9,0,-21.8,0.7,-18.3,0,-21.3,0.2,-16,0.4,-25.7,0.3,-20.8,0.1,-19.9,0.1,-18.9,0.2,-15,0.8,-24.6,0.1,-20.3,0.2,-22.9,0,,,,
B4,,Bacteria,Bacteria,boreal forest,modern,,Y,Y,Y,,Larsen et al. 2013,-25.08,-1.32,1.38,-0.12,-3.82,3.88,0,2.5,-22.6,0,-22.7,0.4,-22.9,0,-25.3,0.1,-22.2,0.4,-27.5,0.2,-26.4,0.2,-25.2,0.2,-23.7,0.1,-15.1,0.1,-28.9,0.1,-21.2,1.1,-27.7,0.2,,,,
B5,,Bacteria,Bacteria,tundra soil,modern,,Y,Y,Y,,Larsen et al. 2013,-16.94,-0.86,0.84,-0.76,-1.36,2.14,0,0.5,-14.8,0.1,-17.4,0.6,-16.5,0,-13.8,0.4,-8.1,0.2,-20,0.2,-17.8,0.1,-17.7,0.3,-16.1,0.1,-8.3,0.2,-18.3,0.1,-14.8,0.2,-18,0,,,,
B6,,Bacteria,Bacteria,tundra soil,modern,,Y,Y,Y,,Larsen et al. 2013,-18.56,-2.54,1.46,-0.64,-1.54,3.26,0,-1,-18.3,0.1,-15.1,0.1,-14.3,0.1,-18.5,0.1,-11.8,0.2,-18.8,0.2,-21.1,0.1,-19.2,0.1,-17.1,0.5,-8.6,1.3,-20.1,0.1,-15.3,0.1,-20.2,0.1,,,,
B7,,Bacteria,Bacteria,tundra soil,modern,,Y,Y,Y,,Larsen et al. 2013,-16.68,-2.32,1.08,-0.72,-1.82,3.78,0,-0.5,-15.3,0,-15.3,0.9,-13.9,0,-14.3,0.1,-9.8,0,-18.5,0.1,-19,0.1,-17.4,0.1,-15.6,0.2,-7.4,0.3,-18.5,0.1,-12.9,0.2,-18.3,0.1,,,,
B8,,Bacteria,Bacteria,arctic lake,modern,,Y,Y,Y,,Larsen et al. 2013,-16.36,-1.34,0.26,0.46,-1.34,1.96,0,0,-14.1,0.1,-15.4,0.7,-15.2,0,-14,0.3,-7.8,0.3,-20.7,0.3,-17.7,0.1,-15.9,0.1,-16.1,0.2,-7.8,0.5,-17.7,0.1,-14.4,0.1,-17.4,0.2,,,,
B9,,Bacteria,Bacteria,tundra soil,modern,,Y,Y,Y,,Larsen et al. 2013,-23.78,-1.32,2.58,-0.32,-3.22,2.28,0,1.9,-18.1,0.1,-24.2,0.9,-21.2,0,-21.7,0.2,-16.8,0.2,-27.4,0.3,-25.1,0.1,-24.1,0.5,-21.2,0.5,-16.8,0.2,-27,0.1,-21.5,0.1,-25.2,0.1,,,,
B10,,Bacteria,Bacteria,tundra soil,modern,,Y,Y,Y,,Larsen et al. 2013,-19.22,-2.18,0.62,1.82,-1.68,1.42,0,-0.5,-16.5,0,-19.2,0,-16.8,0.1,-15.5,0.3,-10.6,0.4,,,-21.4,0.1,-17.4,0.1,-18.6,0.1,-12.2,0.3,-20.9,0.1,-17.8,0.2,-19.7,0.1,,,,
B11,,Bacteria,Bacteria,tundra soil,modern,,Y,Y,Y,,Larsen et al. 2013,-20.02,-2.08,1.42,1.02,-1.88,1.52,0,-0.2,-17.2,0.1,-18.9,0.1,-18.5,0,-16.9,0.6,-11.8,0.5,,,-22.1,0.1,-19,0.1,-18.6,0.1,-11.6,0.7,-21.9,0.1,-18.5,0.1,-20.9,0.1,,,,
B12,,Bacteria,Bacteria,arctic lake,modern,,Y,Y,Y,,Larsen et al. 2013,-25.54,-0.46,1.54,1.34,-3.16,0.74,0,2.7,-20.8,0.1,-24.4,0,-24.1,0,-22.4,0.4,,,-31.6,0.3,-26,0.1,-24.2,0.1,-24,0.1,-17.9,1.6,-28.7,0.1,-24.8,0.2,-25.5,0,,,,
,Actinobacteria,Bacteria,Bacteria,,,,Y,Y,Y,,Larsen et al. 2009,-26.82,-0.98,-1.18,0.32,-2.68,4.52,0,1.7,-28.6,,-24.9,,-25.3,,-38,,,,-30.1,,-27.8,0.1,-26.5,0.1,-28,0.1,-18.2,0.1,-29.5,0.1,-22.3,,,,-19.2,,-20.2,
